Student_ID	Age	Gender	Academic_Level	Country	Avg_Daily_Usage_Hours	Most_Used_Platform	Affects_Academic_Performance	Sleep_Hours_Per_Night	Mental_Health_Score	Relationship_Status	Conflicts_Over_Social_Media	Addicted_Score
466	21	Male	Graduate	Turkey	4.1	Instagram	Yes	8.1	6	Single	3	7
470	21	Male	Graduate	Canada	3.9	Instagram	Yes	8.3	6	Single	3	7
481	19	Female	Undergraduate	Spain	3.6	Instagram	Yes	8.3	6	Single	3	7
486	21	Male	Graduate	Turkey	3.9	Instagram	Yes	8.3	6	Single	3	7
490	21	Male	Graduate	Canada	3.7	Instagram	Yes	8.5	6	Single	3	7
511	20	Female	Undergraduate	Brazil	6.1	Instagram	Yes	6.4	6	Single	3	7
577	20	Female	Undergraduate	USA	5.9	Instagram	Yes	6.7	6	In Relationship	3	7
594	24	Male	Graduate	USA	5.6	Instagram	Yes	6.9	6	In Relationship	3	7
596	21	Male	Undergraduate	France	5.8	Instagram	Yes	6.7	6	Single	3	7
611	22	Female	Graduate	USA	5.4	Instagram	Yes	6.9	6	In Relationship	3	7
614	21	Male	Undergraduate	Canada	5.7	Instagram	Yes	6.7	6	Single	3	7
624	19	Male	Undergraduate	Ireland	5.8	Instagram	Yes	6.6	6	Single	3	7
641	22	Female	Graduate	Ireland	5.9	Instagram	Yes	6.5	6	Single	3	7
658	22	Male	Graduate	Ireland	5.8	Instagram	Yes	6.6	6	Single	3	7
665	20	Female	Undergraduate	Canada	5.6	Instagram	Yes	6.7	6	Single	3	7
675	19	Female	Undergraduate	Ireland	5.9	Instagram	Yes	6.5	6	Single	3	7
692	24	Male	Graduate	Ireland	5.9	Instagram	Yes	6.5	6	Single	3	7
699	19	Female	Undergraduate	Canada	5.7	Instagram	Yes	6.6	6	Single	3	7
161	19	Female	Undergraduate	Bangladesh	5.3	Instagram	Yes	6.1	5	Single	3	7
164	22	Male	Graduate	Pakistan	4.7	Instagram	Yes	6.3	5	In Relationship	3	7
167	20	Female	Undergraduate	Bangladesh	4.9	Instagram	Yes	6.4	5	Single	3	7
170	21	Male	Graduate	Pakistan	4.6	Instagram	Yes	6.5	5	In Relationship	3	7
173	19	Female	Undergraduate	Bangladesh	4.8	Instagram	Yes	6.6	5	Single	3	7
176	22	Male	Graduate	Pakistan	4.5	Instagram	Yes	6.7	5	In Relationship	3	7
179	20	Female	Undergraduate	Bangladesh	4.7	Instagram	Yes	6.8	5	Single	3	7
182	21	Male	Graduate	Pakistan	4.4	Instagram	Yes	6.9	5	In Relationship	3	7
185	19	Female	Undergraduate	Bangladesh	4.6	Instagram	Yes	7	5	Single	3	7
188	22	Male	Graduate	Pakistan	4.3	Instagram	Yes	7.1	5	In Relationship	3	7
191	20	Female	Undergraduate	Bangladesh	4.5	Instagram	Yes	7.2	5	Single	3	7
194	21	Male	Graduate	Pakistan	4.2	Instagram	Yes	7.3	5	In Relationship	3	7
197	19	Female	Undergraduate	Bangladesh	4.4	Instagram	Yes	7.4	5	Single	3	7
200	22	Male	Graduate	Pakistan	4.1	Instagram	Yes	7.5	5	In Relationship	3	7
203	20	Female	Undergraduate	Bangladesh	4.3	Instagram	Yes	7.6	5	Single	3	7
206	21	Male	Graduate	Pakistan	4	Instagram	Yes	7.7	5	In Relationship	3	7
209	19	Female	Undergraduate	Bangladesh	4.2	Instagram	Yes	7.8	5	Single	3	7
212	22	Male	Graduate	Pakistan	3.9	Instagram	Yes	7.9	5	In Relationship	3	7
215	20	Female	Undergraduate	Bangladesh	4.1	Instagram	Yes	8	5	Single	3	7
218	21	Male	Graduate	Pakistan	3.8	Instagram	Yes	8.1	5	In Relationship	3	7
242	21	Male	Graduate	Italy	5.4	Instagram	Yes	6.7	5	Single	3	7
258	21	Male	Graduate	Italy	5.3	Instagram	Yes	6.8	5	Single	3	7
274	21	Male	Graduate	Italy	5.4	Instagram	Yes	6.7	5	Single	3	7
290	21	Male	Graduate	Italy	5.2	Instagram	Yes	6.9	5	Single	3	7
306	21	Male	Graduate	Italy	5	Instagram	Yes	7.1	5	Single	3	7
1	19	Female	Undergraduate	Bangladesh	5.2	Instagram	Yes	6.5	6	In Relationship	3	8
18	19	Female	High School	Norway	5	Instagram	Yes	5.7	5	In Relationship	3	8
62	19	Female	Undergraduate	Romania	5.6	Instagram	Yes	5.6	5	In Relationship	3	8
323	20	Female	Undergraduate	Ireland	5	Instagram	Yes	7	7	Single	3	6
333	19	Female	Undergraduate	Ireland	4.8	Instagram	Yes	7.1	7	Single	3	6
353	19	Female	Undergraduate	Ireland	4.6	Instagram	Yes	7.3	7	Single	3	6
373	19	Female	Undergraduate	Ireland	4.4	Instagram	Yes	7.5	7	Single	3	6
393	19	Female	Undergraduate	Ireland	4.2	Instagram	Yes	7.7	7	Single	3	6
413	19	Female	Undergraduate	Ireland	4	Instagram	Yes	7.9	7	Single	3	6
433	19	Female	Undergraduate	Ireland	3.8	Instagram	Yes	8.1	7	Single	3	6
453	19	Female	Undergraduate	Ireland	3.6	Instagram	Yes	8.3	7	Single	3	6
473	19	Female	Undergraduate	Ireland	3.4	Instagram	Yes	8.5	7	Single	3	6
493	19	Female	Undergraduate	Ireland	3.2	Instagram	Yes	8.7	7	Single	3	6
504	22	Male	Graduate	New Zealand	4.7	Instagram	Yes	7.5	7	In Relationship	3	6
510	21	Male	Graduate	Canada	4.8	Instagram	Yes	7.4	7	Single	3	6
514	21	Male	Graduate	New Zealand	4.6	Instagram	Yes	7.6	7	In Relationship	3	6
530	21	Male	Graduate	Canada	4.6	Instagram	Yes	7.6	7	Single	3	6
544	22	Male	Graduate	New Zealand	4.3	Instagram	Yes	7.9	7	In Relationship	3	6
550	21	Male	Graduate	Canada	4.4	Instagram	Yes	7.8	7	Single	3	6
564	22	Male	Graduate	New Zealand	4.1	Instagram	Yes	8.1	7	In Relationship	3	6
570	21	Male	Graduate	Canada	4.2	Instagram	Yes	8	7	Single	3	6
580	23	Male	Graduate	Canada	5.2	Instagram	Yes	7	6	In Relationship	3	6
116	19	Female	Undergraduate	Maldives	4.8	Instagram	No	7.2	8	Single	2	5
122	21	Female	Graduate	Maldives	4.6	Instagram	No	7.4	8	In Relationship	2	5
128	20	Female	Undergraduate	Maldives	4.4	Instagram	No	7.6	8	In Relationship	2	5
134	21	Female	Graduate	Maldives	4.2	Instagram	No	7.8	8	In Relationship	2	5
140	20	Female	Undergraduate	Maldives	4	Instagram	No	8	8	In Relationship	2	5
146	21	Female	Graduate	Maldives	3.8	Instagram	No	8.2	8	In Relationship	2	5
152	20	Female	Undergraduate	Maldives	3.6	Instagram	No	8.4	8	In Relationship	2	5
158	21	Female	Graduate	Maldives	3.4	Instagram	No	8.6	8	In Relationship	2	5
223	20	Female	Undergraduate	Australia	4.5	Instagram	No	7.5	8	Single	2	5
239	20	Female	Undergraduate	Australia	4.6	Instagram	No	7.3	7	Single	2	5
255	20	Female	Undergraduate	Australia	4.4	Instagram	No	7.4	7	Single	2	5
271	20	Female	Undergraduate	Australia	4.5	Instagram	No	7.3	7	Single	2	5
287	20	Female	Undergraduate	Australia	4.3	Instagram	No	7.5	7	Single	2	5
303	20	Female	Undergraduate	Australia	4.1	Instagram	No	7.7	7	Single	2	5
319	20	Female	Undergraduate	Australia	3.9	Instagram	No	7.9	7	Single	2	5
325	19	Female	Undergraduate	Switzerland	4	Instagram	No	7.9	8	Single	2	4
329	19	Female	Undergraduate	France	4.5	Instagram	No	7.5	7	In Relationship	2	5
335	20	Female	Undergraduate	Switzerland	3.8	Instagram	No	8	8	Single	2	4
339	20	Female	Undergraduate	France	4.4	Instagram	No	7.6	7	In Relationship	2	5
345	19	Female	Undergraduate	Switzerland	3.7	Instagram	No	8.1	8	Single	2	4
349	19	Female	Undergraduate	France	4.3	Instagram	No	7.7	7	In Relationship	2	5
355	20	Female	Undergraduate	Switzerland	3.6	Instagram	No	8.2	8	Single	2	4
359	20	Female	Undergraduate	France	4.2	Instagram	No	7.8	7	In Relationship	2	5
365	19	Female	Undergraduate	Switzerland	3.5	Instagram	No	8.3	8	Single	2	4
369	19	Female	Undergraduate	France	4.1	Instagram	No	7.9	7	In Relationship	2	5
375	20	Female	Undergraduate	Switzerland	3.4	Instagram	No	8.4	8	Single	2	4
379	20	Female	Undergraduate	France	4	Instagram	No	8	7	In Relationship	2	5
385	19	Female	Undergraduate	Switzerland	3.3	Instagram	No	8.5	8	Single	2	4
389	19	Female	Undergraduate	France	3.9	Instagram	No	8.1	7	In Relationship	2	5
395	20	Female	Undergraduate	Switzerland	3.2	Instagram	No	8.6	8	Single	2	4
399	20	Female	Undergraduate	France	3.8	Instagram	No	8.2	7	In Relationship	2	5
405	19	Female	Undergraduate	Switzerland	3.1	Instagram	No	8.7	8	Single	2	4
409	19	Female	Undergraduate	France	3.7	Instagram	No	8.3	7	In Relationship	2	5
415	20	Female	Undergraduate	Switzerland	3	Instagram	No	8.8	8	Single	2	4
419	20	Female	Undergraduate	France	3.6	Instagram	No	8.4	7	In Relationship	2	5
425	19	Female	Undergraduate	Switzerland	2.9	Instagram	No	8.9	8	Single	2	4
429	19	Female	Undergraduate	France	3.5	Instagram	No	8.5	7	In Relationship	2	5
435	20	Female	Undergraduate	Switzerland	2.8	Instagram	No	9	8	Single	2	4
439	20	Female	Undergraduate	France	3.4	Instagram	No	8.6	7	In Relationship	2	5
445	19	Female	Undergraduate	Switzerland	2.7	Instagram	No	9.1	8	Single	2	4
449	19	Female	Undergraduate	France	3.3	Instagram	No	8.7	7	In Relationship	2	5
455	20	Female	Undergraduate	Switzerland	2.6	Instagram	No	9.2	8	Single	2	4
459	20	Female	Undergraduate	France	3.2	Instagram	No	8.8	7	In Relationship	2	5
465	19	Female	Undergraduate	Switzerland	2.5	Instagram	No	9.3	8	Single	2	4
469	19	Female	Undergraduate	France	3.1	Instagram	No	8.9	7	In Relationship	2	5
475	20	Female	Undergraduate	Switzerland	2.4	Instagram	No	9.4	8	Single	2	4
479	20	Female	Undergraduate	France	3	Instagram	No	9	7	In Relationship	2	5
485	19	Female	Undergraduate	Switzerland	2.3	Instagram	No	9.5	8	Single	2	4
489	19	Female	Undergraduate	France	2.9	Instagram	No	9.1	7	In Relationship	2	5
495	20	Female	Undergraduate	Switzerland	2.2	Instagram	No	9.6	8	Single	2	4
499	20	Female	Undergraduate	France	2.8	Instagram	No	9.2	7	In Relationship	2	5
503	20	Female	Undergraduate	Netherlands	3.8	Instagram	No	8.2	8	Single	2	4
523	20	Female	Undergraduate	Netherlands	3.6	Instagram	No	8.4	8	Single	2	4
533	19	Female	Undergraduate	Netherlands	3.5	Instagram	No	8.5	8	Single	2	4
543	20	Female	Undergraduate	Netherlands	3.4	Instagram	No	8.6	8	Single	2	4
553	19	Female	Undergraduate	Netherlands	3.3	Instagram	No	8.7	8	Single	2	4
563	20	Female	Undergraduate	Netherlands	3.2	Instagram	No	8.8	8	Single	2	4
575	21	Female	Undergraduate	Switzerland	4.2	Instagram	No	7.5	7	In Relationship	2	5
587	21	Female	Undergraduate	Finland	4.1	Instagram	No	7.7	7	In Relationship	2	5
589	20	Female	Undergraduate	Denmark	4.4	Instagram	No	7.4	7	In Relationship	2	5
606	19	Male	Undergraduate	Denmark	4.7	Instagram	No	7.2	7	In Relationship	2	5
609	23	Female	Graduate	Switzerland	4.4	Instagram	No	7.4	7	In Relationship	2	5
621	23	Female	Graduate	Finland	4.4	Instagram	No	7.4	7	In Relationship	2	5
630	19	Male	Undergraduate	France	4.7	Instagram	No	7.2	7	In Relationship	2	5
638	21	Male	Undergraduate	Finland	4.3	Instagram	No	7.5	7	In Relationship	2	5
647	20	Female	Undergraduate	France	4.8	Instagram	No	7.1	7	In Relationship	2	5
655	21	Female	Undergraduate	Finland	4.4	Instagram	No	7.4	7	In Relationship	2	5
672	23	Male	Graduate	Finland	4.3	Instagram	No	7.5	7	In Relationship	2	5
681	19	Female	Undergraduate	France	4.7	Instagram	No	7.2	7	In Relationship	2	5
689	20	Female	Undergraduate	Finland	4.4	Instagram	No	7.4	7	In Relationship	2	5
6	19	Female	Undergraduate	Australia	7.2	Instagram	Yes	4.5	4	Complicated	5	9
10	21	Female	Graduate	South Korea	3.3	Instagram	No	7	7	In Relationship	1	4
14	18	Female	High School	Mexico	6.5	Instagram	Yes	5.5	5	Single	4	9
26	19	Female	High School	Ireland	6.1	Instagram	Yes	5.2	5	Complicated	4	9
30	19	Female	High School	Thailand	5.9	Instagram	Yes	5.3	5	Complicated	4	8
38	19	Female	High School	UAE	6.2	Instagram	Yes	5.1	5	In Relationship	4	9
42	19	Female	High School	Nigeria	5.8	Instagram	Yes	5.4	5	Complicated	4	8
50	19	Female	High School	Ecuador	6.3	Instagram	Yes	5.2	5	Complicated	4	9
54	19	Female	High School	Costa Rica	5.7	Instagram	Yes	5.5	5	Single	4	8
74	20	Female	Undergraduate	Moldova	5.8	Instagram	Yes	5.3	5	Single	4	8
80	18	Female	High School	Armenia	5.9	Instagram	Yes	5.2	5	Complicated	4	9
90	18	Female	High School	Liechtenstein	5.8	Instagram	Yes	5.2	5	Single	4	9
94	20	Female	High School	Kosovo	5.5	Instagram	Yes	5.4	5	In Relationship	4	8
104	18	Female	High School	Syria	5.6	Instagram	Yes	5.4	5	Single	4	8
111	20	Male	Undergraduate	Bangladesh	6.1	Instagram	Yes	6.2	5	Single	4	8
114	22	Female	Graduate	Pakistan	5.5	Instagram	Yes	6	5	Single	4	8
120	19	Female	Undergraduate	Pakistan	5.4	Instagram	Yes	6.2	5	In Relationship	4	8
126	21	Female	Graduate	Pakistan	5.2	Instagram	Yes	6.4	5	In Relationship	4	8
132	20	Female	Undergraduate	Pakistan	5	Instagram	Yes	6.6	5	In Relationship	4	8
138	21	Female	Graduate	Pakistan	4.8	Instagram	Yes	6.8	5	In Relationship	4	8
144	20	Female	Undergraduate	Pakistan	4.6	Instagram	Yes	7	5	In Relationship	4	8
150	21	Female	Graduate	Pakistan	4.4	Instagram	Yes	7.2	5	In Relationship	4	8
156	20	Female	Undergraduate	Pakistan	4.2	Instagram	Yes	7.4	5	In Relationship	4	8
221	19	Female	Undergraduate	USA	6.5	Instagram	Yes	6	5	Single	4	9
232	22	Male	Graduate	Germany	4	Instagram	No	7.9	8	Single	1	4
237	19	Female	Undergraduate	USA	6.8	Instagram	Yes	5.9	4	Single	4	9
248	22	Male	Graduate	Germany	3.9	Instagram	No	7.8	8	Single	1	4
253	19	Female	Undergraduate	USA	6.7	Instagram	Yes	5.8	4	Single	4	9
264	22	Male	Graduate	Germany	3.8	Instagram	No	7.7	8	Single	1	4
269	19	Female	Undergraduate	USA	6.4	Instagram	Yes	5.7	4	Single	4	9
280	22	Male	Graduate	Germany	3.6	Instagram	No	7.9	8	Single	1	4
285	19	Female	Undergraduate	USA	6.7	Instagram	Yes	5.4	4	Single	4	9
296	22	Male	Graduate	Germany	3.4	Instagram	No	8.1	8	Single	1	4
301	19	Female	Undergraduate	USA	6.9	Instagram	Yes	5.2	4	Single	4	9
312	22	Male	Graduate	Germany	3.2	Instagram	No	8.3	8	Single	1	4
317	19	Female	Undergraduate	USA	7.1	Instagram	Yes	5	4	Single	4	9
337	19	Female	Undergraduate	USA	6.9	Instagram	Yes	5.4	5	In Relationship	4	9
357	19	Female	Undergraduate	USA	7.1	Instagram	Yes	5.2	5	In Relationship	4	9
377	19	Female	Undergraduate	USA	7.3	Instagram	Yes	5	5	In Relationship	4	9
397	19	Female	Undergraduate	USA	7.5	Instagram	Yes	4.8	5	In Relationship	4	9
417	19	Female	Undergraduate	USA	7.7	Instagram	Yes	4.6	5	In Relationship	4	9
437	19	Female	Undergraduate	USA	7.9	Instagram	Yes	4.4	5	In Relationship	4	9
457	19	Female	Undergraduate	USA	8.1	Instagram	Yes	4.2	5	In Relationship	4	9
477	19	Female	Undergraduate	USA	8.3	Instagram	Yes	4	5	In Relationship	4	9
497	19	Female	Undergraduate	USA	8.5	Instagram	Yes	3.8	5	In Relationship	4	9
507	20	Female	Undergraduate	UAE	6.5	Instagram	Yes	6.5	5	In Relationship	4	8
517	19	Female	Undergraduate	UAE	6.6	Instagram	Yes	6.4	5	In Relationship	4	8
527	20	Female	Undergraduate	UAE	6.7	Instagram	Yes	6.3	5	In Relationship	4	8
537	19	Female	Undergraduate	UAE	6.8	Instagram	Yes	6.2	5	In Relationship	4	8
547	20	Female	Undergraduate	UAE	6.9	Instagram	Yes	6.1	5	In Relationship	4	8
557	19	Female	Undergraduate	UAE	7	Instagram	Yes	6	5	In Relationship	4	8
567	20	Female	Undergraduate	UAE	7.1	Instagram	Yes	5.9	5	In Relationship	4	8
571	20	Female	Undergraduate	Spain	6.1	Instagram	Yes	7.2	5	Single	4	7
583	20	Female	Undergraduate	Russia	6.7	Instagram	Yes	6	5	Single	4	8
591	19	Female	Undergraduate	India	7	Instagram	Yes	5.8	4	Single	5	9
600	19	Male	Undergraduate	Russia	6.7	Instagram	Yes	6	4	Single	4	8
603	23	Female	Graduate	Poland	6.2	Instagram	Yes	6.4	5	Single	4	8
617	22	Female	Graduate	Russia	6.8	Instagram	Yes	5.9	4	Single	5	9
627	23	Female	Graduate	Turkey	6.7	Instagram	Yes	6.1	5	Single	4	8
634	20	Male	Undergraduate	Russia	6.9	Instagram	Yes	5.9	4	Single	5	9
644	21	Male	Undergraduate	Turkey	6.8	Instagram	Yes	6	5	Single	4	8
651	19	Female	Undergraduate	Russia	6.8	Instagram	Yes	5.9	4	Single	5	9
661	21	Female	Undergraduate	Turkey	6.7	Instagram	Yes	6	5	Single	4	8
668	24	Male	Graduate	Russia	6.9	Instagram	Yes	5.9	4	Single	5	9
678	23	Male	Graduate	Turkey	6.8	Instagram	Yes	6	5	Single	4	8
685	21	Female	Undergraduate	Russia	6.7	Instagram	Yes	6	4	Single	5	9
695	20	Female	Undergraduate	Turkey	6.6	Instagram	Yes	6.1	5	Single	4	8
702	23	Male	Graduate	Russia	6.8	Instagram	Yes	5.9	4	Single	5	9
3	20	Female	Undergraduate	USA	6	TikTok	Yes	5	5	Complicated	4	9
9	18	Male	High School	Japan	4	TikTok	No	6.5	7	Single	1	5
21	18	Male	High School	Belgium	5.3	TikTok	Yes	5.5	5	Single	4	8
24	20	Female	Undergraduate	Portugal	5.7	TikTok	Yes	5.4	5	Single	4	8
33	18	Male	High School	Indonesia	5.4	TikTok	Yes	5.4	5	Complicated	4	8
36	20	Female	Undergraduate	Turkey	5.6	TikTok	Yes	5.5	5	Complicated	4	8
45	18	Male	High School	Argentina	5.5	TikTok	Yes	5.3	5	Single	4	8
48	20	Female	Undergraduate	Peru	5.5	TikTok	Yes	5.6	5	Single	4	8
57	18	Male	High School	Trinidad	5.6	TikTok	Yes	5.2	5	Single	4	8
60	20	Female	Undergraduate	Finland	5.4	TikTok	Yes	5.7	5	Single	4	8
68	19	Female	High School	Slovenia	5.7	TikTok	Yes	5.4	5	In Relationship	4	8
77	19	Male	High School	Uzbekistan	5.5	TikTok	Yes	5.4	5	Complicated	4	8
87	19	Male	High School	Andorra	5.3	TikTok	Yes	5.5	5	In Relationship	4	8
100	21	Female	Undergraduate	Jordan	5.4	TikTok	Yes	5.5	5	In Relationship	4	8
119	22	Male	Graduate	Nepal	4.7	TikTok	No	7.3	7	Single	2	5
123	19	Male	Undergraduate	Bangladesh	5.3	TikTok	Yes	6.3	5	Single	4	8
131	19	Male	Undergraduate	Nepal	4.3	TikTok	No	7.7	7	Single	2	5
135	19	Male	Undergraduate	Bangladesh	4.9	TikTok	Yes	6.7	5	Single	4	8
143	19	Male	Undergraduate	Nepal	3.9	TikTok	No	8.1	7	Single	2	5
147	19	Male	Undergraduate	Bangladesh	4.5	TikTok	Yes	7.1	5	Single	4	8
155	19	Male	Undergraduate	Nepal	3.5	TikTok	No	8.5	7	Single	2	5
159	19	Male	Undergraduate	Bangladesh	4.1	TikTok	Yes	7.5	5	Single	4	8
229	19	Female	Undergraduate	USA	7	TikTok	Yes	5.8	4	In Relationship	4	9
234	21	Male	Graduate	Italy	5.7	TikTok	Yes	6.5	5	In Relationship	3	8
245	19	Female	Undergraduate	USA	6.9	TikTok	Yes	5.7	4	In Relationship	4	9
250	21	Male	Graduate	Italy	5.6	TikTok	Yes	6.6	5	In Relationship	3	8
261	19	Female	Undergraduate	USA	6.6	TikTok	Yes	5.6	4	In Relationship	4	9
266	21	Male	Graduate	Italy	5.2	TikTok	Yes	6.9	5	In Relationship	3	8
277	19	Female	Undergraduate	USA	6.6	TikTok	Yes	5.5	4	In Relationship	4	9
282	21	Male	Graduate	Italy	5.3	TikTok	Yes	6.8	5	In Relationship	3	8
293	19	Female	Undergraduate	USA	6.8	TikTok	Yes	5.3	4	In Relationship	4	9
298	21	Male	Graduate	Italy	5.1	TikTok	Yes	7	5	In Relationship	3	8
309	19	Female	Undergraduate	USA	7	TikTok	Yes	5.1	4	In Relationship	4	9
314	21	Male	Graduate	Italy	4.9	TikTok	Yes	7.2	5	In Relationship	3	8
327	20	Female	Undergraduate	USA	6.8	TikTok	Yes	5.5	5	In Relationship	4	9
343	20	Female	Undergraduate	Ireland	4.7	TikTok	Yes	7.2	7	Single	3	6
347	20	Female	Undergraduate	USA	7	TikTok	Yes	5.3	5	In Relationship	4	9
363	20	Female	Undergraduate	Ireland	4.5	TikTok	Yes	7.4	7	Single	3	6
367	20	Female	Undergraduate	USA	7.2	TikTok	Yes	5.1	5	In Relationship	4	9
383	20	Female	Undergraduate	Ireland	4.3	TikTok	Yes	7.6	7	Single	3	6
387	20	Female	Undergraduate	USA	7.4	TikTok	Yes	4.9	5	In Relationship	4	9
403	20	Female	Undergraduate	Ireland	4.1	TikTok	Yes	7.8	7	Single	3	6
407	20	Female	Undergraduate	USA	7.6	TikTok	Yes	4.7	5	In Relationship	4	9
423	20	Female	Undergraduate	Ireland	3.9	TikTok	Yes	8	7	Single	3	6
427	20	Female	Undergraduate	USA	7.8	TikTok	Yes	4.5	5	In Relationship	4	9
443	20	Female	Undergraduate	Ireland	3.7	TikTok	Yes	8.2	7	Single	3	6
447	20	Female	Undergraduate	USA	8	TikTok	Yes	4.3	5	In Relationship	4	9
463	20	Female	Undergraduate	Ireland	3.5	TikTok	Yes	8.4	7	Single	3	6
467	20	Female	Undergraduate	USA	8.2	TikTok	Yes	4.1	5	In Relationship	4	9
483	20	Female	Undergraduate	Ireland	3.3	TikTok	Yes	8.6	7	Single	3	6
487	20	Female	Undergraduate	USA	8.4	TikTok	Yes	3.9	5	In Relationship	4	9
513	19	Female	Undergraduate	Netherlands	3.7	TikTok	No	8.3	8	Single	2	4
520	22	Male	Graduate	Canada	4.7	TikTok	Yes	7.5	7	Single	3	6
540	22	Male	Graduate	Canada	4.5	TikTok	Yes	7.7	7	Single	3	6
560	22	Male	Graduate	Canada	4.3	TikTok	Yes	7.9	7	Single	3	6
576	24	Male	Graduate	Turkey	6.8	TikTok	Yes	6.2	5	Single	4	8
581	21	Female	Undergraduate	UK	6.3	TikTok	Yes	6.4	5	Single	4	8
588	24	Male	Graduate	Spain	6.6	TikTok	Yes	6.2	5	Single	4	8
593	21	Female	Undergraduate	Turkey	6.9	TikTok	Yes	6.1	5	Single	4	8
597	23	Female	Graduate	Canada	4.9	TikTok	No	7.3	7	In Relationship	2	5
605	22	Female	Graduate	Spain	6.3	TikTok	Yes	6.3	5	Single	4	8
610	20	Male	Undergraduate	Turkey	6.6	TikTok	Yes	6.2	5	Single	4	8
615	23	Female	Graduate	UK	6.1	TikTok	Yes	6.4	5	Single	4	8
620	21	Male	Undergraduate	Poland	6.3	TikTok	Yes	6.3	5	Single	4	8
